Time,OD,Strain,Environment
28.65822222,0.684599996,TUB0,LB
28.83622222,0.683700025,TUB0,LB
29.01425,0.688399971,TUB0,LB
29.19225,0.686699986,TUB0,LB
29.37025,0.689300001,TUB0,LB
29.54825,0.691600025,TUB0,LB
29.72625,0.694500029,TUB0,LB
29.90425,0.702300012,TUB0,LB
30.08225,0.724099994,TUB0,LB
30.26025,0.737399995,TUB0,LB
30.43825,0.747300029,TUB0,LB
30.61625,0.755500019,TUB0,LB
30.79425,0.762199998,TUB0,LB
30.97225,0.761500001,TUB0,LB
31.15025,0.765100002,TUB0,LB
31.32825,0.76789999,TUB0,LB
31.50625,0.765699983,TUB0,LB
31.68425,0.76910001,TUB0,LB
31.86225,0.76700002,TUB0,LB
32.04025,0.760800004,TUB0,LB
32.21825,0.75940001,TUB0,LB
32.39625,0.763800025,TUB0,LB
32.57425,0.762399971,TUB0,LB
32.75225,0.765200019,TUB0,LB
32.93025,0.769699991,TUB0,LB
33.10825,0.772300005,TUB0,LB
33.28625,0.771899998,TUB0,LB
33.46425,0.769299984,TUB0,LB
33.64225,0.77640003,TUB0,LB
33.82025,0.774399996,TUB0,LB
33.99827778,0.773100019,TUB0,LB
34.17627778,0.777499974,TUB0,LB
34.35427778,0.774699986,TUB0,LB
34.53227778,0.777899981,TUB0,LB
34.71027778,0.781000018,TUB0,LB
34.88827778,0.780499995,TUB0,LB
35.06627778,0.779100001,TUB0,LB
35.24427778,0.783100009,TUB0,LB
35.42227778,0.781700015,TUB0,LB
35.60027778,0.781599998,TUB0,LB
35.77827778,0.783699989,TUB0,LB
35.95627778,0.800499976,TUB0,LB
36.13427778,0.784099996,TUB0,LB
36.31227778,0.768899977,TUB0,LB
36.49027778,0.766300023,TUB0,LB
36.66827778,0.741100013,TUB0,LB
36.84627778,0.756500006,TUB0,LB
37.02427778,0.746800005,TUB0,LB
37.20227778,0.745100021,TUB0,LB
37.38030556,0.744700015,TUB0,LB
37.55830556,0.746699989,TUB0,LB
37.73630556,0.739300013,TUB0,LB
37.91430556,0.740999997,TUB0,LB
38.09230556,0.746399999,TUB0,LB
38.27030556,0.742200017,TUB0,LB
38.44830556,0.742600024,TUB0,LB
38.62630556,0.747300029,TUB0,LB
38.80430556,0.746599972,TUB0,LB
38.98230556,0.746699989,TUB0,LB
39.16030556,0.748199999,TUB0,LB
39.33830556,0.743799984,TUB0,LB
39.51630556,0.746999979,TUB0,LB
39.69430556,0.746399999,TUB0,LB
39.87230556,0.749300003,TUB0,LB
40.05030556,0.749300003,TUB0,LB
40.22830556,0.750100017,TUB0,LB
40.40630556,0.750100017,TUB0,LB
40.58430556,0.750199974,TUB0,LB
40.76230556,0.751600027,TUB0,LB
40.94033333,0.754800022,TUB0,LB
41.11830556,0.802900016,TUB0,LB
41.29630556,0.932900012,TUB0,LB
41.47430556,0.905799985,TUB0,LB
41.65233333,0.954299986,TUB0,LB
41.83033333,0.909200013,TUB0,LB
42.00833333,0.914600015,TUB0,LB
42.18633333,0.891499996,TUB0,LB
42.36433333,0.897000015,TUB0,LB
42.54233333,0.930400014,TUB0,LB
42.72033333,0.898999989,TUB0,LB
42.89833333,0.884000003,TUB0,LB
43.07633333,0.875199974,TUB0,LB
43.25433333,0.893599987,TUB0,LB
43.43233333,0.868499994,TUB0,LB
43.61033333,0.887700021,TUB0,LB
43.78833333,0.882099986,TUB0,LB
43.96633333,0.880500019,TUB0,LB
44.14433333,0.886799991,TUB0,LB
44.32233333,0.884500027,TUB0,LB
44.50033333,0.877200007,TUB0,LB
44.67833333,0.881299973,TUB0,LB
44.85633333,0.866400003,TUB0,LB
45.03433333,0.868600011,TUB0,LB
45.21236111,0.854799986,TUB0,LB
45.39036111,0.843999982,TUB0,LB
45.56836111,0.838500023,TUB0,LB
45.74636111,0.835099995,TUB0,LB
45.92433333,0.819400012,TUB0,LB
46.10236111,0.82069999,TUB0,LB
46.28036111,0.825800002,TUB0,LB
46.45836111,0.829200029,TUB0,LB
46.63636111,0.822600007,TUB0,LB
46.81436111,0.819299996,TUB0,LB
46.99236111,0.808700025,TUB0,LB
47.17036111,0.797800004,TUB0,LB
47.34836111,0.794399977,TUB0,LB
47.52636111,0.784099996,TUB0,LB
47.70436111,0.779600024,TUB0,LB
47.88236111,0.782100022,TUB0,LB
48.06036111,0.777199984,TUB0,LB
48.23836111,0.771499991,TUB0,LB
48.41636111,0.764900029,TUB0,LB
48.59436111,0.756900012,TUB0,LB
48.77236111,0.750100017,TUB0,LB
48.95036111,0.743499994,TUB0,LB
49.12836111,0.740999997,TUB0,LB
49.30636111,0.738200009,TUB0,LB
49.48436111,0.727299988,TUB0,LB
49.66236111,0.723999977,TUB0,LB
49.84036111,0.718299985,TUB0,LB
50.01836111,0.710200012,TUB0,LB
50.19636111,0.700500011,TUB0,LB
50.37436111,0.664799988,TUB0,LB
50.55236111,0.663100004,TUB0,LB
50.73036111,0.662400007,TUB0,LB
50.90836111,0.664499998,TUB0,LB
51.08636111,0.663699985,TUB0,LB
51.26438889,0.663200021,TUB0,LB
51.44238889,0.664399981,TUB0,LB
